                                                            Autonomous System (AS) Numbers

   Last Updated
           2015-06-11

   Note

 Autonomous System (AS) Numbers are used by various routing protocols. IANA allocates
 AS Numbers to Regional Internet Registries (RIRs). The RIRs further allocate or assign AS
 Numbers to network operators in line with RIR policies. The [five RIRs] are:

 - [AFRINIC]
 - [APNIC]
 - [ARIN]
 - [LACNIC]
 - [RIPE_NCC]

 AS Numbers can be obtained from the registry in your region.

   Available Formats
           [IMG]
           XML [IMG]
           HTML [IMG]
           Plain text

   Registries included below

     * 16-bit Autonomous System Numbers
     * 32-bit Autonomous System Numbers

16-bit Autonomous System Numbers

   Registration Procedure(s)

 RIR request to the IANA or IETF Review. Allocated following the Global Policy published at
 [http://www.icann.org/en/resources/policy/global-addressing].

   Reference
           [RFC1930][RFC5398][RFC6996][RFC7249]

   Available Formats
           [IMG]
           CSV

      3487     Assigned by LACNIC                                whois.lacnic.net
      3488     Assigned by APNIC                                 whois.apnic.net
    3489-3495  Assigned by ARIN                                  whois.arin.net
      3496     Assigned by LACNIC                                whois.lacnic.net
    3497-3509  Assigned by ARIN                                  whois.arin.net
      3510     Assigned by APNIC                                 whois.apnic.net
    3511-3547  Assigned by ARIN                                  whois.arin.net
      3548     Assigned by LACNIC                                whois.lacnic.net
      3549     Assigned by ARIN                                  whois.arin.net
      3550     Assigned by APNIC                                 whois.apnic.net
      3551     Assigned by LACNIC                                whois.lacnic.net
    3552-3555  Assigned by ARIN                                  whois.arin.net
      3556     Assigned by LACNIC                                whois.lacnic.net
      3557     Assigned by ARIN                                  whois.arin.net
    3558-3559  Assigned by APNIC                                 whois.apnic.net
    3560-3582  Assigned by ARIN                                  whois.arin.net
      3583     Assigned by APNIC                                 whois.apnic.net
    3584-3595  Assigned by ARIN                                  whois.arin.net
    3596-3597  Assigned by LACNIC                                whois.lacnic.net
    3598-3602  Assigned by ARIN                                  whois.arin.net
      3603     Assigned by LACNIC                                whois.lacnic.net
      3604     Assigned by ARIN                                  whois.arin.net
      3605     Assigned by APNIC                                 whois.apnic.net
    3606-3607  Assigned by ARIN                                  whois.arin.net
      3608     Assigned by APNIC                                 whois.apnic.net
    3609-3623  Assigned by ARIN                                  whois.arin.net
      3624     Assigned by RIPE NCC                              whois.ripe.net
    3625-3630  Assigned by ARIN                                  whois.arin.net
    3631-3632  Assigned by LACNIC                                whois.lacnic.net
    3633-3635  Assigned by ARIN                                  whois.arin.net
      3636     Assigned by LACNIC                                whois.lacnic.net
    3637-3639  Assigned by ARIN                                  whois.arin.net
      3640     Assigned by LACNIC                                whois.lacnic.net
    3641-3660  Assigned by ARIN                                  whois.arin.net
    3661-3662  Assigned by APNIC                                 whois.apnic.net
    3663-3688  Assigned by ARIN                                  whois.arin.net
    3689-3693  Assigned by APNIC                                 whois.apnic.net
    3694-3710  Assigned by ARIN                                  whois.arin.net
      3711     Assigned by APNIC                                 whois.apnic.net
    3712-3716  Assigned by ARIN                                  whois.arin.net
      3717     Assigned by APNIC                                 whois.apnic.net
    3718-3740  Assigned by ARIN                                  whois.arin.net
      3741     Assigned by AFRINIC                               whois.afrinic.net
    3742-3746  Assigned by ARIN                                  whois.arin.net
    3747-3748  Assigned by APNIC                                 whois.apnic.net
    3749-3756  Assigned by ARIN                                  whois.arin.net
    3757-3758  Assigned by APNIC                                 whois.apnic.net
    3759-3772  Assigned by ARIN                                  whois.arin.net
      3773     Assigned by APNIC                                 whois.apnic.net
      3774     Assigned by ARIN                                  whois.arin.net
      3775     Assigned by APNIC                                 whois.apnic.net
    3776-3783  Assigned by ARIN                                  whois.arin.net
      3784     Assigned by APNIC                                 whois.apnic.net
      3785     Assigned by ARIN                                  whois.arin.net
    3786-3787  Assigned by APNIC                                 whois.apnic.net
    3788-3789  Assigned by ARIN                                  whois.arin.net
      3790     Assigned by LACNIC                                whois.lacnic.net
    3791-3812  Assigned by ARIN                                  whois.arin.net
      3813     Assigned by APNIC                                 whois.apnic.net
    3814-3815  Assigned by ARIN                                  whois.arin.net
      3816     Assigned by LACNIC                                whois.lacnic.net
    3817-3824  Assigned by ARIN                                  whois.arin.net
      3825     Assigned by APNIC                                 whois.apnic.net
    3826-3835  Assigned by ARIN                                  whois.arin.net
      3836     Assigned by APNIC                                 whois.apnic.net
