                                                                    Registrar IDs

   Last Updated
           2015-06-19

   Available Formats
           [IMG]
           XML [IMG]
           HTML [IMG]
           Plain text

   Registry included below

     * Registrar IDs

Registrar IDs

   Registration Procedure(s)

 Assigned by ICANN

   Reference
           [Not defined by an RFC]

   Available Formats
           [IMG]
           CSV

     ID                                          Registrar Name                                          Status
     718   DomainBuzz.ca Inc.                                                                          Accredited
     719   NamePal.com #8001                                                                           Accredited
     720   PopularDomains.ca Inc.                                                                      Accredited
     721   LuckyDomains.ca Inc.                                                                        Accredited
     722   GoName-FL.com, Inc.                                                                         Accredited
     723   SecureDomain.ca Internet Services Corporation                                               Accredited
     724   South America Domains Ltd. dba namefrog.com.                                                Terminated
     725   NameStream.com, Inc.                                                                        Accredited
     726   EntertheDomain.com, Inc.                                                                    Accredited
     727   Hostmaster.ca Inc.                                                                          Accredited
     728   YourDomainCo.com Inc.                                                                       Accredited
     729   Regnow.ca Inc.                                                                              Accredited
     730   ZippyDomains.ca Inc.                                                                        Accredited
     731   Domus Enterprises LLC                                                                       Accredited
     733   UsefulDomains.net Inc.                                                                      Accredited
     734   NamePal.com #8004                                                                           Accredited
     735   DomainsAtCost Corporation                                                                   Accredited
     736   Romel Corporation                                                                           Accredited
     737   Matchnames.ca Inc.                                                                          Accredited
     738   DomainMall.ca Inc.                                                                          Accredited
     739   DomainAuthority.ca Inc.                                                                     Accredited
     740   GoName-HI.com, Inc.                                                                         Accredited
