                                                  Language Subtag Registry - Registration Templates

   Last Updated
           2018-11-30

   Registration Procedure(s)

 IESG-Appointed Language Subtag Reviewer

   Reference
           [RFC5646]

   Note

 [RFC5646] defines an IANA-maintained registry of language subtags, which
 is available at [IANA registry language-subtag-registry]. The
 following is the archive of language subtag registration templates.


   Available Formats
           [IMG]
           XML [IMG]
           HTML [IMG]
           Plain text

   Available Formats
           [IMG]
           CSV

       Type           Subtag              Template            Date
   language      moz               moz.txt                 2011-08-24
   language      mpx               mpx.txt                 2012-08-27
   language      mqz               mqz.txt                 2012-08-27
   language      mrg               mrg.txt                 2011-08-24
   language      mry               mry.txt                 2010-03-24
   language      mst               mst.txt                 2010-03-24
   language      mtw               mtw.txt                 2010-03-24
   language      muc               muc.txt                 2013-09-23
   language      mvh               mvh.txt                 2012-08-27
   language      mwd               mwd.txt                 2013-09-23
   language      mwj               mwj.txt                 2015-02-18
   language      mwx               mwx.txt                 2018-03-20
   language      mwy               mwy.txt                 2018-03-20
   language      mxx               mxx.txt                 2010-03-24
   language      myq               myq.txt                 2013-09-23
   language      myt               myt.txt                 2010-03-24
   language      nad               nad.txt                 2016-06-10
   language      nai               nai.txt                 2009-04-07
   language      nam               nam.txt                 2012-08-27
   language      naq               naq.txt                 2015-02-18
   language      nat               nat.txt                 2015-02-18
   language      nbf               nbf.txt                 2011-08-24
   language      nbx               nbx.txt                 2013-09-23
   language      ncp               ncp.txt                 2018-03-20
   language      ncq               ncq.txt                 2017-03-03
   language      nds               nds.txt                 2007-11-06
   language      ne                ne.txt                  2012-08-27
   language      nee               nee.txt                 2011-08-24
   language      neu               neu.txt                 2012-08-27
   language      ngh               ngh.txt                 2015-03-06
   language      ngh               ngh-2018-10-28.txt      2018-10-31
   language      ngk               ngk.txt                 2013-09-23
   language      ngr               ngr.txt                 2012-08-27
   language      ngt               ngt.txt                 2017-03-03
   language      nib               nib.txt                 2011-08-24
   language      nic               nic.txt                 2009-04-07
   language      njz               njz.txt                 2012-08-27
   language      nkq               nkq.txt                 2010-04-19
   language      nlm               nlm.txt                 2018-03-20
   language      nln               nln.txt                 2012-08-27
   language      nlq               nlq.txt                 2013-09-23
   language      nlr               nlr.txt                 2013-09-23
   language      nlw               nlw.txt                 2013-09-23
   language      nmf               nmf.txt                 2012-08-27
   language      nmn               nmn.txt                 2015-03-06
   language      nmn               nmn-2018-10-28.txt      2018-10-31
   language      nmw               nmw.txt                 2015-02-18
   language      nnx               nnx.txt                 2015-02-18
   language      noj               noj.txt                 2010-03-24
   language      nol               nol.txt                 2013-09-23
   language      noo               noo.txt                 2011-08-24
   language      npg               npg.txt                 2012-08-27
   language      npi               npi.txt                 2012-08-27
   language      npx               npx.txt                 2017-03-03
   language      nqg               nqg.txt                 2010-03-24
   language      nql               nql.txt                 2017-03-03
   language      nqq               nqq.txt                 2013-09-23
   language      nqy               nqy.txt                 2012-08-27
   language      nrf               nrf.txt                 2015-02-18
   language      nrk               nrk.txt                 2013-09-23
   language      nrr               nrr.txt                 2013-09-23
   language      nru               nru.txt                 2011-08-24
   language      nsf               nsf.txt                 2012-08-27
   language      ntd               ntd.txt                 2016-06-10
   language      ntg               ntg.txt                 2013-09-23
   language      nts               nts.txt                 2016-06-10
   language      ntx               ntx.txt                 2012-08-27
   language      nua               nua.txt                 2013-09-23
   language      nvo               nvo.txt                 2012-08-27
   language      nwg               nwg.txt                 2012-08-27
   language      nwo               nwo.txt                 2012-08-27
   language      nuk               nuk.txt                 2011-08-24
   language      nun               nun.txt                 2011-08-24
   language      nxk               nxk.txt                 2012-08-27
   language      nxo               lii.txt                 2015-02-18
   language      nxq               nxq.txt                 2011-08-24
   language      nzd               nzd.txt                 2018-03-20
   language      nzz               nzz.txt                 2010-03-24
   language      obk               obk.txt                 2010-03-24
   language      oc                oc.txt                  2008-08-18
   language      olt               olt.txt                 2014-03-13
   language      olu               olu.txt                 2016-06-10
   language      okg               okg.txt                 2012-08-27
   language      olk               olk.txt                 2013-09-23
   language      ome               ome.txt                 2016-06-10
   language      or                or.txt                  2012-08-27
   language      or                or-2016-05-30.txt       2016-06-10
   language      ory               ory.txt                 2012-08-27
   language      ory               ory-2016-05-30.txt      2016-06-10
   language      oue               oue.txt                 2011-08-24
   language      oun               oun.txt                 2015-02-18
   language      oun               oun-2018-10-28.txt      2018-10-31
   language      ovd               ovd.txt                 2016-06-21
   language      ovd               ovd-2017-02-23.txt      2017-03-03
   language      paa               paa.txt                 2009-04-07
   language      pbm               pbm.txt                 2018-03-20
   language      pby               pby.txt                 2015-02-18
   language      pbz               pbz.txt                 2012-08-27
   language      pcr               pcr.txt                 2013-09-23
   language      pes               pes.txt                 2010-03-24
   language      pgd               pgd.txt                 2015-02-18
   language      pgl               pgl.txt                 2011-08-24
   language      pgy               pgy.txt                 2012-08-27
   language      pgz               pgz.txt                 2016-06-10
   language      phi               phi.txt                 2009-04-07
   language      pls               pls.txt                 2015-02-18
   language      pmc               pmc.txt                 2016-06-10
   language      pmd               pmd.txt                 2012-08-27
   language      pmu               pmu.txt                 2015-02-18
   language      pnj               pnj.txt                 2013-09-23
